epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,143.718,0.62531,0.65267,1.06665,0.85563,0.4768,0.67797,0.3742,1.64077,1.85498,1.42343,2.82112e-05,2.82112e-05,2.82112e-05
65,145.755,0.66167,0.68583,1.21661,0.85563,0.4768,0.67797,0.3742,1.64077,1.85498,1.42343,2.7905e-05,2.7905e-05,2.7905e-05
66,147.887,0.68421,0.91615,1.08097,0.85188,0.47723,0.67714,0.37598,1.70813,1.91267,1.44746,2.75753e-05,2.75753e-05,2.75753e-05
67,149.91,0.73704,1.11078,1.10207,0.85188,0.47723,0.67714,0.37598,1.70813,1.91267,1.44746,2.7222e-05,2.7222e-05,2.7222e-05
68,151.964,1.04203,1.77588,1.40613,0.85188,0.47723,0.67714,0.37598,1.70813,1.91267,1.44746,2.68451e-05,2.68451e-05,2.68451e-05
69,154.061,0.64153,1.10024,1.12478,0.84141,0.48627,0.5678,0.28832,1.65258,1.95158,1.41893,2.64447e-05,2.64447e-05,2.64447e-05
70,156.091,0.9782,0.86459,1.43004,0.84141,0.48627,0.5678,0.28832,1.65258,1.95158,1.41893,2.60207e-05,2.60207e-05,2.60207e-05
71,158.138,0.94771,1.28667,1.3155,0.84141,0.48627,0.5678,0.28832,1.65258,1.95158,1.41893,2.55731e-05,2.55731e-05,2.55731e-05
72,160.232,0.59475,0.63808,1.07493,0.84024,0.48542,0.54677,0.27608,1.72005,1.99865,1.44221,2.5102e-05,2.5102e-05,2.5102e-05
73,162.272,0.68985,0.90667,1.04443,0.84024,0.48542,0.54677,0.27608,1.72005,1.99865,1.44221,2.46073e-05,2.46073e-05,2.46073e-05
74,164.311,0.72039,0.59439,1.2172,0.84024,0.48542,0.54677,0.27608,1.72005,1.99865,1.44221,2.40891e-05,2.40891e-05,2.40891e-05
75,166.395,0.72976,0.55223,1.14062,0.84007,0.48278,0.54728,0.26976,1.767,1.99443,1.46016,2.35472e-05,2.35472e-05,2.35472e-05
76,168.432,0.6348,0.73496,1.12819,0.84007,0.48278,0.54728,0.26976,1.767,1.99443,1.46016,2.29819e-05,2.29819e-05,2.29819e-05
77,170.498,0.67979,0.65758,1.11156,0.84007,0.48278,0.54728,0.26976,1.767,1.99443,1.46016,2.23929e-05,2.23929e-05,2.23929e-05
78,172.602,0.87528,1.00422,1.18657,0.83347,0.48841,0.54413,0.26802,1.73292,2.01178,1.44564,2.17805e-05,2.17805e-05,2.17805e-05
79,174.647,0.58792,0.7467,1.08363,0.83347,0.48841,0.54413,0.26802,1.73292,2.01178,1.44564,2.11444e-05,2.11444e-05,2.11444e-05
80,176.583,0.69977,0.73056,1.16105,0.83347,0.48841,0.54413,0.26802,1.73292,2.01178,1.44564,2.04848e-05,2.04848e-05,2.04848e-05
81,178.6,0.51091,0.50261,0.97371,0.84257,0.47979,0.53431,0.26591,1.76394,2.04731,1.46968,1.98016e-05,1.98016e-05,1.98016e-05
